Date,City,Region,Category,SubCategory,Sales,Quantity,Profit
11-08-2016,Henderson,South,Furniture,Bookcases,261.96,2,41.9136
11-08-2016,Henderson,South,Furniture,Chairs,731.94,3,219.582
06-12-2016,Los Angeles,West,Office Supplies,Labels,14.62,2,6.8714
10-11-2015,Fort Lauderdale,South,Furniture,Tables,957.5775,5,-383.031
10-11-2015,Fort Lauderdale,South,Office Supplies,Storage,22.368,2,2.5164
06-09-2014,Los Angeles,West,Furniture,Furnishings,48.86,7,14.1694
06-09-2014,Los Angeles,West,Office Supplies,Art,7.28,4,1.9656
06-09-2014,Los Angeles,West,Technology,Phones,907.152,6,90.7152
06-09-2014,Los Angeles,West,Office Supplies,Binders,18.504,3,5.7825
06-09-2014,Los Angeles,West,Office Supplies,Appliances,114.9,5,34.47
06-09-2014,Los Angeles,West,Furniture,Tables,1706.184,9,85.3092
06-09-2014,Los Angeles,West,Technology,Phones,911.424,4,68.3568
4/15/2017,Concord,South,Office Supplies,Paper,15.552,3,5.4432
12-05-2016,Seattle,West,Office Supplies,Binders,407.976,3,132.5922
11/22/2015,Fort Worth,Central,Office Supplies,Appliances,68.81,5,-123.858
11/22/2015,Fort Worth,Central,Office Supplies,Binders,2.544,3,-3.816
11-11-2014,Madison,Central,Office Supplies,Storage,665.88,6,13.3176
5/13/2014,West Jordan,West,Office Supplies,Storage,55.5,2,9.99
8/27/2014,San Francisco,West,Office Supplies,Art,8.56,2,2.4824
8/27/2014,San Francisco,West,Technology,Phones,213.48,3,16.011
8/27/2014,San Francisco,West,Office Supplies,Binders,22.72,4,7.384
12-09-2016,Fremont,Central,Office Supplies,Art,19.46,7,5.0596
12-09-2016,Fremont,Central,Office Supplies,Appliances,60.34,7,15.6884
7/16/2017,Philadelphia,East,Furniture,Chairs,71.372,2,-1.0196
9/25/2015,Orem,West,Furniture,Tables,1044.63,3,240.2649
1/16/2016,Los Angeles,West,Office Supplies,Binders,11.648,2,4.2224
1/16/2016,Los Angeles,West,Technology,Accessories,90.57,3,11.7741
9/17/2015,Philadelphia,East,Furniture,Bookcases,3083.43,7,-1665.0522
9/17/2015,Philadelphia,East,Office Supplies,Binders,9.618,2,-7.0532
9/17/2015,Philadelphia,East,Furniture,Furnishings,124.2,3,15.525
9/17/2015,Philadelphia,East,Office Supplies,Envelopes,3.264,2,1.1016
9/17/2015,Philadelphia,East,Office Supplies,Art,86.304,6,9.7092
9/17/2015,Philadelphia,East,Office Supplies,Binders,6.858,6,-5.715
9/17/2015,Philadelphia,East,Office Supplies,Art,15.76,2,3.546
10/19/2017,Houston,Central,Office Supplies,Paper,29.472,3,9.9468
12-08-2016,Richardson,Central,Technology,Phones,1097.544,7,123.4737
